 5.48%
Classifier[13] iteration 994: error1 9356.790783, error2 762.126014, percentage 5.44%
Classifier[13] iteration 995: error1 9356.769468, error2 762.096329, percentage 5.44%
Classifier[13] iteration 996: error1 9356.748194, error2 762.066701, percentage 5.44%
Classifier[13] iteration 997: error1 9356.726961, error2 762.037130, percentage 5.44%
Classifier[13] iteration 998: error1 9356.705768, error2 762.007614, percentage 5.44%
Classifier[13] iteration 999: error1 9356.684615, error2 761.978154, percentage 5.44%
[-0.02198858 -0.25859839  0.06128207  0.24933548 -0.11183159 -0.21322112
 -0.01039719  0.42468807  0.24138973  0.13908902  0.00277655 -0.53850796
 -0.04204417  0.54353409 -0.01549745 -0.66546953 -0.61478735]
Classifier[14] iteration 0: error1 12852.868823, error2 7000.000000, percentage 50.00%
Classifier[14] iteration 1: error1 9335.306722, error2 532.000990, percentage 3.80%
Classifier[14] iteration 2: error1 9335.307535, error2 532.002616, percentage 3.80%
Classifier[14] iteration 3: error1 9335.309750, error2 532.007053, percentage 3.80%
Classifier[14] iteration 4: error1 9335.315978, error2 532.019542, percentage 3.80%
Classifier[14] iteration 5: error1 9335.334273, error2 532.056314, percentage 3.80%
Classifier[14] iteration 6: error1 9335.391521, error2 532.171815, percentage 3.80%
Classifier[14] iteration 7: error1 9335.587282, error2 532.569089, percentage 3.80%
Classifier[14] iteration 8: error1 9336.339542, error2 534.107741, percentage 3.82%
Classifier[14] iteration 9: error1 9339.647452, error2 540.932746, percentage 3.86%
Classifier[14] iteration 10: error1 9356.034553, error2 574.988438, percentage 4.11%
Classifier[14] iteration 11: error1 9436.336323, error2 742.103475, percentage 5.30%
Classifier[14] iteration 12: error1 9633.499049, error2 1148.455280, percentage 8.20%
Classifier[14] iteration 13: error1 9547.266068, error2 971.809780, percentage 6.94%
Classifier[14] iteration 14: error1 9616.252655, error2 1113.690955, percentage 7.95%
Classifier[14] iteration 15: error1 9559.455336, error2 997.284775, percentage 7.12%
Classifier[14] iteration 16: error1 9605.330499, error2 1091.731543, percentage 7.80%
Classifier[14] iteration 17: error1 9566.677950, error2 1012.493636, percentage 7.23%
Classifier[14] iteration 18: error1 9597.909735, error2 1076.859980, percentage 7.69%
Classifier[14] iteration 19: error1 9571.159810, error2 1022.022022, percentage 7.30%
Classifier[14] iteration 20: error1 9592.668116, error2 1066.396662, percentage 7.62%
Classifier[14] iteration 21: error1 9573.967425, error2 1028.068446, percentage 7.34%
Classifier[14] iteration 22: error1 9588.864793, error2 1058.839417, percentage 7.56%
Classifier[14] iteration 23: error1 9575.701024, error2 1031.872161, percentage 7.37%
Classifier[14] iteration 24: error1 9586.043327, error2 1053.262577, percentage 7.52%
Classifier[14] iteration 25: error1 9576.728100, error2 1034.193602, percentage 7.39%
Classifier[14] iteration 26: error1 9583.906828, error2 1049.064218, percentage 7.49%
Classifier[14] iteration 27: error1 9577.284636, error2 1035.522435, percentage 7.40%
Classifier[14] iteration 28: error1 9582.255702, error2 1045.840027, percentage 7.47%
Classifier[14] iteration 29: error1 9577.526517, error2 1036.183175, percentage 7.40%
Classifier[14] iteration 30: error1 9580.952855, error2 1043.312695, percentage 7.45%
Classifier[14] iteration 31: error1 9577.558507, error2 1036.394727, percentage 7.40%
Classifier[14] iteration 32: error1 9579.902705, error2 1041.289264, percentage 7.44%
Classifier[14] iteration 33: error1 9577.451737, error2 1036.306370, percentage 7.40%
Classifier[14] iteration 34: error1 9579.037865, error2 1039.634038, percentage 7.43%
Classifier[14] iteration 35: error1 9577.254780, error2 1036.020538, percentage 7.40%
Classifier[14] iteration 36: error1 9578.310406, error2 1038.250795, percentage 7.42%
Classifier[14] iteration 37: error1 9577.000864, error2 1035.607707, percentage 7.40%
Classifier[14] iteration 38: error1 9577.685986, error2 1037.070823, percentage 7.41%
Classifier[14] iteration 39: error1 9576.712693, error2 1035.116355, percentage 7.39%
Classifier[14] iteration 40: error1 9577.139832, error2 1036.044745, percentage 7.40%
Classifier[14] iteration 41: error1 9576.405711, error2 1034.579714, percentage 7.39%
Classifier[14] iteration 42: error1 9576.653965, error2 1035.136863, percentage 7.39%
Classifier[14] iteration 43: error1 9576.090342, error2 1034.020426, percentage 7.39%
Classifier[14] iteration 44: error1 9576.215249, error2 1034.321208, percentage 7.39%
Classifier[14] iteration 45: error1 9575.773531, error2 1033.453752, percentage 7.38%
Classifier[14] iteration 46: error1 9575.814024, error2 1033.578754, percentage 7.38%
Classifier[14] iteration 47: error1 9575.459821, error2 1032.889825, percentage 7.38%
Classifier[14] iteration 48: error1 9575.443132, error2 1032.895458, percentage 7.38%
Classifier[14] iteration 49: error1 9575.152102, error2 1032.335215, percentage 7.37%
Classifier[14] iteration 50: error1 9575.097222, error2 1032.260858, percentage 7.37%
Classifier[14] iteration 51: error1 9574.852128, error2 1031.794029, percentage 7.37%
Classifier[14] iteration 52: error1 9574.772260, error2 1031.667078, percentage 7.37%
Classifier[14] iteration 53: error1 9574.560886, error2 1031.268683, percentage 7.37%
Classifier[14] iteration 54: error1 9574.465166, error2 1031.108121, percentage 7.37%
Classifier[14] iteration 55: error1 9574.278843, error2 1030.760445, percentage 7.36%
Classifier[14] iteration 56: error1 9574.173563, error2 1030.579354, percentage 7.36%
Classifier[14] iteration 57: error1 9574.006127, error2 1030.269808, percentage 7.36%
Classifier[14] iteration 58: error1 9573.895591, error2 1030.077147, percentage 7.36%
Classifier[14] iteration 59: error1 9573.742647, error2 1029.796755, percentage 7.36%
Classifier[14] iteration 60: error1 9573.629772, error2 1029.598606, percentage 7.35%
Classifier[14] iteration 61: error1 9573.488171, error2 1029.340944, percentage 7.35%
Classifier[14] iteration 62: error1 9573.374914, error2 1029.141387, percentage 7.35%
Classifier[14] iteration 63: error1 9573.242390, error2 1028.901830, percentage 7.35%
Classifier[14] iteration 64: error1 9573.130041, error2 1028.703561, percentage 7.35%
Classifier[14] iteration 65: error1 9573.004950, error2 1028.478748, percentage 7.35%
Classifier[14] iteration 66: error1 9572.894341, error2 1028.283509, percentage 7.34%
Classifier[14] iteration 67: error1 9572.775477, error2 1028.070980, percentage 7.34%
Classifier[14] iteration 68: error1 9572.667128, error2 1027.879855, percentage 7.34%
Classifier[14] iteration 69: error1 9572.553597, error2 1027.677782, percentage 7.34%
Classifier[14] iteration 70: error1 9572.447812, error2 1027.491411, percentage 7.34%
Classifier[14] iteration 71: error1 9572.338944, error2 1027.298419, percentage 7.34%
Classifier[14] iteration 72: error1 9572.235884, error2 1027.117137, percentage 7.34%
Classifier[14] iteration 73: error1 9572.131165, error2 1026.932173, percentage 7.34%
Classifier[14] iteration 74: error1 9572.030894, error2 1026.756116, percentage 7.33%
Classifier[14] iteration 75: error1 9571.929924, error2 1026.578356, percentage 7.33%
Classifier[14] iteration 76: error1 9571.832443, error2 1026.407527, percentage 7.33%
Classifier[14] iteration 77: error1 9571.734904, error2 1026.236315, percentage 7.33%
Classifier[14] iteration 78: error1 9571.640173, error2 1026.070632, percentage 7.33%
Classifier[14] iteration 79: error1 9571.545806, error2 1025.905434, percentage 7.33%
Classifier[14] iteration 80: error1 9571.453761, error2 1025.744761, percentage 7.33%
Classifier[14] iteration 81: error1 9571.362350, error2 1025.585134, percentage 7.33%
Classifier[14] iteration 82: error1 9571.272911, error2 1025.429305, percentage 7.32%
Classifier[14] iteration 83: error1 9571.184276, error2 1025.274872, percentage 7.32%
Classifier[14] iteration 84: error1 9571.097353, error2 1025.123705, percentage 7.32%
Classifier[14] iteration 85: error1 9571.011337, error2 1024.974142, percentage 7.32%
Classifier[14] iteration 86: error1 9570.926840, error2 1024.827448, percentage 7.32%
Classifier[14] iteration 87: error1 9570.843304, error2 1024.682469, percentage 7.32%
Classifier[14] iteration 88: error1 9570.761142, error2 1024.540058, percentage 7.32%
Classifier[14] iteration 89: error1 9570.679962, error2 1024.399411, percentage 7.32%
Classifier[14] iteration 90: error1 9570.600043, error2 1024.261098, percentage 7.32%
Classifier[14] iteration 91: error1 9570.521110, error2 1024.124555, percentage 7.32%
Classifier[14] iteration 92: error1 9570.443347, error2 1023.990160, percentage 7.31%
Classifier[14] iteration 93: error1 9570.366559, error2 1023.857514, percentage 7.31%
Classifier[14] iteration 94: error1 9570.290866, error2 1023.726865, percentage 7.31%
Classifier[14] iteration 95: error1 9570.216130, error2 1023.597928, percentage 7.31%
Classifier[14] iteration 96: error1 9570.142427, error2 1023.470861, percentage 7.31%
Classifier[14] iteration 97: error1 9570.069656, error2 1023.345459, percentage 7.31%
Classifier[14] iteration 98: error1 9569.997865, error2 1023.221818, percentage 7.31%
Classifier[14] iteration 99: error1 9569.926981, error2 1023.099790, percentage 7.31%
Classifier[14] iteration 100: error1 9569.857029, error2 1022.979430, percentage 7.31%
Classifier[14] iteration 101: error1 9569.787954, error2 1022.860626, percentage 7.31%
Classifier[14] iteration 102: error1 9569.719771, error2 1022.743407, percentage 7.31%
Classifier[14] iteration 103: error1 9569.652437, error2 1022.627689, percentage 7.30%
Classifier[14] iteration 104: error1 9569.585956, error2 1022.513481, percentage 7.30%
Classifier[14] iteration 105: error1 9569.520296, error2 1022.400718, percentage 7.30%
Classifier[14] iteration 106: error1 9569.455454, error2 1022.289398, percentage 7.30%
Classifier[14] iteration 107: error1 9569.391405, error2 1022.179468, percentage 7.30%
Classifier[14] iteration 108: error1 9569.328143, error2 1022.070919, percentage 7.30%
Classifier[14] iteration 109: error1 9569.265646, error2 1021.963709, percentage 7.30%
Classifier[14] iteration 110: error1 9569.203907, error2 1021.857822, percentage 7.30%
Classifier[14] iteration 111: error1 9569.142906, error2 1021.753223, percentage 7.30%
Classifier[14] iteration 112: error1 9569.082635, error2 1021.649895, percentage 7.30%
Classifier[14] iteration 113: error1 9569.023077, error2 1021.547806, percentage 7.30%
Classifier[14] iteration 114: error1 9568.964223, error2 1021.446939, percentage 7.30%
Classifier[14] iteration 115: error1 9568.906058, error2 1021.347265, percentage 7.30%
Classifier[14] iteration 116: error1 9568.848572, error2 1021.248767, percentage 7.29%
Classifier[14] iteration 117: error1 9568.791752, error2 1021.151418, percentage 7.29%
Classifier[14] iteration 118: error1 9568.735587, error2 1021.055201, percentage 7.29%
Classifier[14] iteration 119: error1 9568.680065, error2 1020.960093, percentage 7.29%
Classifier[14] iteration 120: error1 9568.625177, error2 1020.866074, percentage 7.29%
Classifier[14] iteration 121: error1 9568.570911, error2 1020.773125, percentage 7.29%
Classifier[14] iteration 122: error1 9568.517257, error2 1020.681228, percentage 7.29%
Classifier[14] iteration 123: error1 9568.464205, error2 1020.590362, percentage 7.29%
Classifier[14] iteration 124: error1 9568.411745, error2 1020.500511, percentage 7.29%
Classifier[14] iteration 125: error1 9568.359868, error2 1020.411656, percentage 7.29%
Classifier[14] iteration 126: error1 9568.308563, error2 1020.323781, percentage 7.29%
Classifier[14] iteration 127: error1 9568.257822, error2 1020.236869, percentage 7.29%
Classifier[14] iteration 128: error1 9568.207636, error2 1020.150904, percentage 7.29%
Classifier[14] iteration 129: error1 9568.157995, error2 1020.065869, percentage 7.29%
Classifier[14] iteration 130: error1 9568.108892, error2 1019.981749, percentage 7.29%
Classifier[14] iteration 131: error1 9568.060318, error2 1019.898530, percentage 7.28%
Classifier[14] iteration 132: error1 9568.012263, error2 1019.816195, percentage 7.28%
Classifier[14] iteration 133: error1 9567.964722, error2 1019.734732, percentage 7.28%
Classifier[14] iteration 134: error1 9567.917684, error2 1019.654126, percentage 7.28%
Classifier[14] iteration 135: error1 9567.871144, error2 1019.574363, percentage 7.28%
Classifier[14] iteration 136: error1 9567.825092, error2 1019.495431, percentage 7.28%
Classifier[14] iteration 137: error1 9567.779522, error2 1019.417315, percentage 7.28%
Classifier[14] iteration 138: error1 9567.734427, error2 1019.340003, percentage 7.28%
Classifier[14] iteration 139: error1 9567.689798, error2 1019.263483, percentage 7.28%
Classifier[14] iteration 140: error1 9567.645630, error2 1019.187742, percentage 7.28%
Classifier[14] iteration 141: error1 9567.601916, error2 1019.112769, percentage 7.28%
Classifier[14] iteration 142: error1 9567.558648, error2 1019.038552, percentage 7.28%
Classifier[14] iteration 143: error1 9567.515821, error2 1018.965079, percentage 7.28%
